epoch,step,train_loss,val_loss
0,37,,0.36539211869239807
1,49,0.01579388789832592,
1,75,,0.2673966884613037
2,99,0.010875833220779896,
2,113,,0.22050535678863525
3,149,0.00574696296826005,
3,151,,0.21731524169445038
4,189,,0.2094796597957611
5,199,0.005475402344018221,
5,227,,0.17363423109054565
6,249,0.006238018628209829,
6,265,,0.14579856395721436
7,299,0.009217801503837109,
7,303,,0.1991509348154068
8,341,,0.19236628711223602
9,349,0.006281694397330284,
9,379,,0.1777149736881256
10,399,0.005419136956334114,
10,417,,0.19061768054962158
11,449,0.005149132572114468,
11,455,,0.19235987961292267
12,493,,0.1444920003414154
13,499,0.0069762845523655415,
13,531,,0.14127281308174133
14,549,0.0037998820189386606,
14,569,,0.18644843995571136
15,599,0.00698612816631794,
15,607,,0.15693965554237366
16,645,,0.1842445582151413
17,649,0.008109882473945618,
17,683,,0.16695190966129303
18,699,0.004278392065316439,
18,721,,0.1684190034866333
19,749,0.014097610488533974,
19,759,,0.12459182739257812
