epoch,step,train_loss,val_loss
0,37,,0.025447377935051918
1,49,0.003776256227865815,
1,75,,0.005350955296307802
2,99,0.0015021745348349214,
2,113,,0.0037363439332693815
3,149,0.0015437246765941381,
3,151,,0.0044071003794670105
4,189,,0.0014561503194272518
5,199,0.0009546694927848876,
5,227,,0.0036284259986132383
6,249,0.0012416723184287548,
6,265,,0.002059331862255931
7,299,0.0003231694863643497,
7,303,,0.0010358192957937717
8,341,,0.0027362992987036705
9,349,0.00043757189996540546,
9,379,,0.0009663990349508822
10,399,0.0001898079935926944,
10,417,,0.0025452272966504097
11,449,0.0003467345086392015,
11,455,,0.0007375325076282024
12,493,,0.0016010054387152195
13,499,0.0006233308231458068,
13,531,,0.0011161164147779346
14,549,0.00034366012550890446,
14,569,,0.0005871442263014615
15,599,0.0001957817585207522,
15,607,,0.0003418457636144012
16,645,,0.0005037427763454616
17,649,0.00024716980988159776,
17,683,,0.0007196858641691506
18,699,0.00017783069051802158,
18,721,,0.002252856269478798
19,749,0.0002499359252396971,
19,759,,0.0010284894378855824
