epoch,step,train_loss,val_loss
0,37,,0.0017397991614416242
1,49,0.0059732901863753796,
1,75,,0.008553126826882362
2,99,0.01564675383269787,
2,113,,0.003746132366359234
3,149,0.0019299812847748399,
3,151,,0.004488196689635515
4,189,,0.0009419918060302734
5,199,0.0039336844347417355,
5,227,,0.0036285107489675283
6,249,0.006351415999233723,
6,265,,0.0008505445439368486
7,299,0.0029133320786058903,
7,303,,0.006697328295558691
8,341,,0.0026536632794886827
9,349,0.0027986099012196064,
9,379,,0.003541007172316313
10,399,0.0019388189539313316,
10,417,,0.001541846082545817
11,449,0.002245234325528145,
11,455,,0.0005075929802842438
12,493,,0.0010031863348558545
13,499,0.001600176328793168,
13,531,,0.0036798377986997366
14,549,0.0022163696121424437,
14,569,,0.0027823764830827713
15,599,0.008301676250994205,
15,607,,0.001094604842364788
16,645,,0.002152180764824152
17,649,0.005104627460241318,
17,683,,0.005488692317157984
18,699,0.0012886670883744955,
18,721,,0.0010938933119177818
19,749,0.003931158222258091,
19,759,,0.0005048620514571667
