epoch,step,train_loss,val_loss
0,37,,0.049979984760284424
1,49,0.002503494266420603,
1,75,,0.016168363392353058
2,99,0.0005189772346056998,
2,113,,0.0017620049184188247
3,149,0.0004268344782758504,
3,151,,0.001558882649987936
4,189,,0.0016344527248293161
5,199,0.00013153562031220645,
5,227,,0.0011738288449123502
6,249,0.0002062413695966825,
6,265,,0.0005422453978098929
7,299,6.98698713677004e-05,
7,303,,0.0004049470298923552
8,341,,0.00029166514286771417
9,349,7.440358604071662e-05,
9,379,,0.0002652237599249929
10,399,0.0001656677486607805,
10,417,,0.00018385158909950405
11,449,4.718534182757139e-05,
11,455,,0.00015740493836347014
12,493,,0.0002440741372993216
13,499,7.692022336414084e-05,
13,531,,0.00023108019377104938
14,549,7.816898141754791e-05,
14,569,,0.00011221965542063117
15,599,9.049855725606903e-05,
15,607,,0.0001245242456207052
16,645,,0.00010403447959106416
17,649,7.703309529460967e-05,
17,683,,0.0003130888217128813
18,699,5.957470057182945e-05,
18,721,,0.00020015148038510233
19,749,4.3188760173507035e-05,
19,759,,0.00014536461094394326
